Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Rigoberto Urán,EF Pro Cycling,4528,1426,1026,5328,2763,33,2020-02-06
Krists Neilands,Israel Start-Up Nation,456,194,347,248,353,25,2020-02-06
Benjamin Dyball,NTT Pro Cycling,749,523,116,285,107,30,2020-02-06
Michael Valgren,NTT Pro Cycling,1046,401,610,826,1989,27,2020-02-06
Hugo Hofstetter,Israel Start-Up Nation,0,0,1333,81,1184,25,2020-02-06
Iván García Cortina,Bahrain - McLaren,197,74,564,341,421,24,2020-02-06
Kristoffer Halvorsen,EF Pro Cycling,142,0,973,44,608,23,2020-02-06
Dries De Bondt,Alpecin-Fenix,117,1,815,61,805,28,2020-02-06
Florian Sénéchal,Deceuninck - Quick Step,401,162,1328,124,1333,26,2020-02-06
Wilco Kelderman,Team Sunweb,3632,1896,762,2837,530,28,2020-02-06
George Bennett,Team Jumbo-Visma,2289,124,86,2015,224,29,2020-02-06
Álvaro José Hodeg,Deceuninck - Quick Step,12,6,1286,10,493,23,2020-02-06
Domenico Pozzovivo,NTT Pro Cycling,5525,707,853,5790,2280,37,2020-02-06
Matej Mohorič,Bahrain - McLaren,818,164,514,664,833,25,2020-02-06
Niccolò Bonifazio,Team Total Direct Energie,314,48,2475,139,1107,26,2020-02-06
James Knox,Deceuninck - Quick Step,497,49,46,381,46,24,2020-02-06
Dylan van Baarle,Team INEOS,1097,950,663,267,944,27,2020-02-06
Ryan Gibbons,NTT Pro Cycling,320,155,804,234,303,25,2020-02-06
Carl Fredrik Hagen,Lotto Soudal,683,1,249,360,96,28,2020-02-06
Hugh Carthy,EF Pro Cycling,1085,225,31,874,174,25,2020-02-06
Michael Mørkøv,Deceuninck - Quick Step,799,275,1306,141,972,34,2020-02-06
Edvald Boasson Hagen,NTT Pro Cycling,3515,2874,7947,1438,3910,32,2020-02-06
Luka Mezgec,Mitchelton-Scott,318,33,3336,165,992,31,2020-02-06
Edward Theuns,Trek - Segafredo,420,97,2649,64,1670,28,2020-02-06
Toms Skujiņš,Trek - Segafredo,503,167,706,642,930,28,2020-02-06
