Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Serghei Țvetcov,Team Sapura Cycling,962,1168,472,379,73,31,2020-02-06
Hugo Houle,Astana Pro Team,425,482,218,136,402,29,2020-02-06
Imerio Cima,Gazprom - RusVelo,43,39,579,14,94,22,2020-02-06
Sam Oomen,Team Sunweb,1202,192,94,1000,312,24,2020-02-06
Roy Eefting,Team Sapura Cycling,70,50,475,0,5,30,2020-02-06
Pieter Serry,Deceuninck - Quick Step,688,193,662,752,988,31,2020-02-06
Dorian Godon,AG2R La Mondiale,128,139,196,113,130,23,2020-02-06
Lukas Pöstlberger,BORA - hansgrohe,163,270,437,84,456,28,2020-02-06
Oscar Riesebeek,Alpecin-Fenix,232,37,414,25,338,27,2020-02-06
Aksel Nõmmela,Bingoal - Wallonie Bruxelles,22,27,742,2,525,25,2020-02-06
Antonio Pedrero,Movistar Team,264,12,46,272,109,28,2020-02-06
Paweł Franczak,Voster ATS Team,212,50,1134,5,267,28,2020-02-06
Quentin Jauregui,AG2R La Mondiale,148,0,386,128,504,25,2020-02-06
Evgeny Shalunov,Gazprom - RusVelo,369,129,417,152,397,28,2020-02-06
Lennard Kämna,BORA - hansgrohe,180,316,69,244,108,23,2020-02-06
Joni Brandão,Efapel,562,273,132,365,69,30,2020-02-06
Fernando Barceló,"Cofidis, Solutions Crédits",55,2,56,150,129,24,2020-02-06
Marcel Kittel ,,793,799,6894,2,1927,31,2020-02-06
Nariyuki Masuda,Utsunomiya Blitzen,208,248,210,124,150,36,2020-02-06
Omar Fraile,Astana Pro Team,391,77,210,904,259,29,2020-02-06
Travis McCabe,Israel Start-Up Nation,111,86,1648,181,147,30,2020-02-06
Mikel Bizkarra,Fundación - Orbea,464,12,41,452,126,30,2020-02-06
Enrico Gasparotto,NTT Pro Cycling,1411,428,2477,1590,3304,37,2020-02-06
Francesco Gavazzi,Androni Giocattoli - Sidermec,1261,43,2882,1722,2908,35,2020-02-06
Karel Hník,Elkov - Kasper,317,18,300,124,100,28,2020-02-06
Jasha Sütterlin,Team Sunweb,447,798,218,37,280,27,2020-02-06
Jonas van Genechten,B&B Hotels - Vital Concept p/b KTM,129,39,2868,24,1592,33,2020-02-06
Anthony Perez,"Cofidis, Solutions Crédits",298,145,202,183,76,28,2020-02-06
Vadim Pronskiy,Astana Pro Team,201,44,54,111,1,21,2020-02-06
Raymond Kreder,Team UKYO,171,84,2638,90,774,30,2020-02-06
Grega Bole,Bahrain - McLaren,1139,165,2873,766,1865,34,2020-02-06
Ryan Cavanagh,St George Continental Cycling Team,156,32,134,27,2,24,2020-02-06
Dylan Kennett,St George Continental Cycling Team,124,126,235,0,0,25,2020-02-06
Marko Kump,Adria Mobil,121,105,3222,23,798,31,2020-02-06
François Bidard,AG2R La Mondiale,244,6,39,250,82,27,2020-02-06
Jelle Wallays,Lotto Soudal,539,150,1003,104,947,30,2020-02-06
Fabian Lienhard,Groupama - FDJ,61,27,707,50,399,26,2020-02-06
Vicente García de Mateos,Aviludo-Louletano,311,171,650,373,167,31,2020-02-06
Cesare Benedetti,BORA - hansgrohe,343,1,262,230,287,32,2020-02-06
Eduardo Sepúlveda,Movistar Team,834,385,150,472,312,28,2020-02-06
Branislau Samoilau,Minsk Cycling Club,818,757,505,584,277,34,2020-02-06
Alessandro De Marchi,CCC Team,410,320,223,1270,660,33,2020-02-06
Jesse Ewart,Team Sapura Cycling,211,0,168,69,0,25,2020-02-06
Nick van der Lijke,Riwal Readynez Cycling Team,527,35,1036,171,360,28,2020-02-06
Jonathan Castroviejo,Team INEOS,1431,3499,104,500,239,32,2020-02-06
Matteo Moschetti,Trek - Segafredo,11,26,674,0,245,23,2020-02-06
Markus Hoelgaard,Uno-X Norwegian Development Team,323,12,350,88,77,25,2020-02-06
Enrique Sanz,Equipo Kern Pharma,94,18,1264,72,421,30,2020-02-06
Damien Touzé,"Cofidis, Solutions Crédits",61,7,588,20,435,23,2020-02-06
Bram Welten,Team Arkéa Samsic,65,0,698,6,374,22,2020-02-06
Patrick Müller ,,44,0,185,22,179,23,2020-02-06
Bas van der Kooij,BEAT Cycling Club ,14,0,628,0,140,24,2020-02-06
Evaldas Šiškevičius,NIPPO DELKO One Provence,335,333,1245,96,491,31,2020-02-06
Pierre Rolland,B&B Hotels - Vital Concept p/b KTM,3081,209,680,3031,476,33,2020-02-06
Radoslav Rogina,Adria Mobil,1919,199,1918,592,692,40,2020-02-06
Mikel Iturria,Fundación - Orbea,147,2,46,174,49,27,2020-02-06
Lasse Norman Hansen,Alpecin-Fenix,344,576,434,23,262,27,2020-02-06
Luke Durbridge,Mitchelton-Scott,1016,1906,310,129,654,28,2020-02-06
Ben O'Connor,NTT Pro Cycling,495,49,26,426,40,24,2020-02-06
Yauhen Sobal,Minsk Cycling Club,272,165,469,100,250,38,2020-02-06
Heinrich Haussler,Bahrain - McLaren,767,276,4232,298,2751,35,2020-02-06
Niklas Eg,Trek - Segafredo,289,44,31,193,31,25,2020-02-06
Rory Townsend,Canyon dhb p/b Soreen,3,0,282,0,141,24,2020-02-06
Alex Molenaar,Burgos-BH,117,28,45,54,28,20,2020-02-06
Romain Combaud,NIPPO DELKO One Provence,246,0,316,128,356,28,2020-02-06
Pierre-Luc Périchon,"Cofidis, Solutions Crédits",462,191,499,195,475,33,2020-02-06
Wouter Wippert,EvoPro Racing,87,33,2744,2,703,29,2020-02-06
Jelle Vanendert,Bingoal - Wallonie Bruxelles,748,18,680,1747,2098,34,2020-02-06
Yevgeniy Gidich,Astana Pro Team,461,20,1046,215,122,23,2020-02-06
José Herrada,"Cofidis, Solutions Crédits",980,315,316,802,533,34,2020-02-06
Guillaume Boivin,Israel Start-Up Nation,367,146,1564,138,806,30,2020-02-06
Zak Dempster ,,183,99,985,23,560,32,2020-02-06
Emiel Vermeulen,Natura4Ever - Roubaix Lille Métropole,4,0,624,0,418,26,2020-02-06
Mauro Finetto,NIPPO DELKO One Provence,1091,229,1786,854,2056,34,2020-02-06
Carlos Verona,Movistar Team,600,17,60,464,361,27,2020-02-06
Nicola Bagioli,Androni Giocattoli - Sidermec,39,0,146,96,234,24,2020-02-06
Filippo Zaccanti,Bardiani-CSF-Faizanè,154,7,48,54,4,24,2020-02-06
Damiano Cima,Gazprom - RusVelo,127,2,389,13,68,26,2020-02-06
Martin Laas,BORA - hansgrohe,134,39,1037,14,81,26,2020-02-06
Quinten Hermans,Circus - Wanty Gobert,240,86,271,40,54,24,2020-02-06
Matteo Fabbro,BORA - hansgrohe,231,74,98,128,60,24,2020-02-06
Ahmet Örken,Team Sapura Cycling,228,310,1822,182,112,26,2020-02-06
Joris Nieuwenhuis,Team Sunweb,74,8,82,91,59,23,2020-02-06
Peter Stetina ,,1007,65,101,686,293,32,2020-02-06
Giovanni Lonardi,Bardiani-CSF-Faizanè,21,2,416,7,83,23,2020-02-06
Dimitri Peyskens,Bingoal - Wallonie Bruxelles,131,7,298,62,273,28,2020-02-06
Andrey Zeits,Mitchelton-Scott,1186,109,150,458,229,33,2020-02-06
Ángel Madrazo,Burgos-BH,463,91,328,604,833,31,2020-02-06
Jenthe Biermans,Israel Start-Up Nation,154,50,164,38,114,24,2020-02-06
Simon Geschke,CCC Team,975,517,903,914,1232,33,2020-02-06
Milan Menten,Sport Vlaanderen - Baloise,68,17,466,58,252,23,2020-02-06
Jhonatan Restrepo,Androni Giocattoli - Sidermec,291,31,286,186,232,25,2020-02-06
Paolo Totò,Work Service Dynatek Vega,104,103,660,122,388,29,2020-02-06
Andreas Kron,Riwal Readynez Cycling Team,89,6,50,37,4,21,2020-02-06
Patrick Schelling,Israel Start-Up Nation,544,192,295,273,186,29,2020-02-06
Jan Bakelants,Circus - Wanty Gobert,2477,307,1400,1828,1818,33,2020-02-06
Pim Ligthart,Team Total Direct Energie,671,56,1475,198,1108,31,2020-02-06
Thibault Ferasse,Natura4Ever - Roubaix Lille Métropole,100,46,140,38,204,25,2020-02-06
Mikel Aristi,Fundación - Orbea,46,63,342,87,90,26,2020-02-06
Matteo Badilatti,Israel Start-Up Nation,224,4,32,204,3,27,2020-02-06
Kyle Murphy,Rally Cycling,153,184,33,208,7,28,2020-02-06
Geoffrey Bouchard,AG2R La Mondiale,76,1,23,104,13,27,2020-02-06
Choon Huat Goh,Terengganu Inc. TSG Cycling Team,106,104,162,40,76,29,2020-02-06
Roland Thalmann,Team Vorarlberg Santic,178,24,88,204,107,26,2020-02-06
Gustavo César,W52 / FC Porto ,1176,1332,811,470,118,40,2020-02-06
Ben Perry, Israel Cycling Academy,145,5,279,25,128,25,2020-02-06
Samuele Battistella,NTT Pro Cycling,48,2,78,16,22,21,2020-02-06
Marcus Culey,Team Sapura Cycling,130,47,202,47,7,26,2020-02-06
Francisco Mancebo,Matrix Powertag,5710,1716,3022,3254,1655,43,2020-02-06
Artur Fedosseyev,Ningxia Sports Lottery Continental Team,121,14,38,54,10,26,2020-02-06
Robert Power,Team Sunweb,172,60,78,214,468,24,2020-02-06
Mads Würtz Schmidt,Israel Start-Up Nation,352,531,460,34,207,25,2020-02-06
Larry Warbasse,AG2R La Mondiale,470,294,76,326,162,29,2020-02-06
Michael Van Staeyen,Tarteletto - Isorex,85,18,3778,8,1770,31,2020-02-06
Michael Hepburn,Mitchelton-Scott,224,1158,101,20,131,28,2020-02-06
Amaro Antunes,W52 / FC Porto ,458,87,156,493,86,29,2020-02-06
Pierpaolo Ficara,Team Sapura Cycling,174,7,122,188,175,28,2020-02-06
Benjamín Prades,Team UKYO,595,51,540,389,255,36,2020-02-06
Jonathan Clarke,Team Skyline,478,64,304,218,25,35,2020-02-06
Rob Britton,Rally Cycling,769,579,301,489,61,35,2020-02-06
Martijn Tusveld,Team Sunweb,306,188,126,108,28,26,2020-02-06
Jetse Bol,Burgos-BH,369,139,745,196,271,30,2020-02-06
Christopher Juul-Jensen,Mitchelton-Scott,834,357,196,230,599,30,2020-02-06
Stijn Vandenbergh,AG2R La Mondiale,539,25,730,32,1250,35,2020-02-06
Lorenzo Rota,Vini Zabù - KTM,169,12,180,170,148,24,2020-02-06
Kevin Geniets,Groupama - FDJ,36,94,24,29,94,23,2020-02-06
Jempy Drucker,BORA - hansgrohe,545,609,3322,64,2166,33,2020-02-06
Daniel Oss,BORA - hansgrohe,585,417,1463,324,1163,33,2020-02-06
Erik Baška,BORA - hansgrohe,44,41,730,23,323,26,2020-02-06
Hayden Mccormick,Black Spoke Pro Cycling Academy,136,146,194,70,59,26,2020-02-06
Fabien Doubey,Circus - Wanty Gobert,138,3,52,70,79,26,2020-02-06
Enrico Battaglin,Bahrain - McLaren,339,29,1380,802,872,30,2020-02-06
Jan-Willem van Schip,BEAT Cycling Club ,5,6,668,10,468,25,2020-02-06
Jhonatan Narváez,Team INEOS,249,23,226,95,173,22,2020-02-06
Gianni Vermeersch,Alpecin-Fenix,15,2,461,22,342,27,2020-02-06
Norman Vahtra,Israel Start-Up Nation,63,73,417,5,81,23,2020-02-06
Giovanni Carboni,Bardiani-CSF-Faizanè,156,8,67,226,54,24,2020-02-06
Sven Erik Bystrøm,UAE-Team Emirates,383,63,490,128,317,28,2020-02-06
Simon Pellaud,Androni Giocattoli - Sidermec,217,34,223,82,65,27,2020-02-06
Szymon Rekita,Leopard Pro Cycling ,188,32,79,64,4,26,2020-02-06
Attilio Viviani,"Cofidis, Solutions Crédits",8,0,249,0,87,23,2020-02-06
Alois Kaňkovský,Elkov - Kasper,304,63,2413,0,341,36,2020-02-06
Michael Albasini,Mitchelton-Scott,2012,401,2576,1797,2938,39,2020-02-06
Jordi Warlop,Sport Vlaanderen - Baloise,2,0,289,15,190,23,2020-02-06
Yecid Sierra,Tianyoude Hotel Cycling Team,197,22,1,130,7,25,2020-02-06
Grzegorz Stępniak,Wibatech Merx 7R,352,87,1060,0,119,30,2020-02-06
Elchin Asadov,Bahrain Cycling Academy,99,216,477,11,130,32,2020-02-06
Michael Storer,Team Sunweb,239,71,216,71,159,22,2020-02-06
Clément Champoussin ,,31,8,108,40,43,21,2020-02-06
Cyril Barthe,B&B Hotels - Vital Concept p/b KTM,67,5,272,68,53,23,2020-02-06
Riccardo Stacchiotti ,,187,318,776,34,33,28,2020-02-06
Manuele Boaro,Astana Pro Team,796,1224,361,211,224,32,2020-02-06
Nicola Conci,Trek - Segafredo,161,8,132,166,74,23,2020-02-06
Mohammad Ganjkhanlou ,,24,46,296,18,9,22,2020-02-06
Stefan Bissegger,Team Monti,150,13,123,0,10,21,2020-02-06
Tim Declercq,Deceuninck - Quick Step,276,24,317,47,361,30,2020-02-06
Paul Martens,Team Jumbo-Visma,1092,416,1870,512,1657,36,2020-02-06
Georgios Bouglas,SSIOS Miogee Cycling Team,10,67,893,43,72,29,2020-02-06
Huub Duijn ,,595,185,1251,156,881,35,2020-02-06
Edward Planckaert,Sport Vlaanderen - Baloise,27,18,556,1,395,25,2020-02-06
Sirak Tesfom ,,60,145,148,68,86,25,2020-02-06
Patryk Stosz,Voster ATS Team,62,80,466,5,51,25,2020-02-06
Etienne van Empel,Vini Zabù - KTM,117,0,113,43,70,25,2020-02-06
Otto Vergaerde,Alpecin-Fenix,33,12,90,32,88,25,2020-02-06
Stefan de Bod,NTT Pro Cycling,71,263,96,32,60,23,2020-02-06
Pascal Eenkhoorn,Team Jumbo-Visma,102,127,137,12,73,22,2020-02-06
Connor Swift,Team Arkéa Samsic,112,17,154,44,91,24,2020-02-06
Joaquim Silva,Miranda - Mortágua,197,53,15,122,0,27,2020-02-06
Riccardo Zoidl,Team Felbermayr - Simplon Wels ,1079,584,483,620,207,31,2020-02-06
Jesper Asselman,Metec - TKH Continental Cyclingteam p/b Mantel,68,19,760,13,509,29,2020-02-06
Luca Pacioni,Androni Giocattoli - Sidermec,49,98,1038,42,83,26,2020-02-06
Yuriy Natarov,Astana Pro Team,124,81,36,45,15,23,2020-02-06
João Almeida,Deceuninck - Quick Step,112,108,74,86,11,21,2020-02-06
Thomas Pidcock ,,41,10,63,34,26,20,2020-02-06
Cyril Gautier,B&B Hotels - Vital Concept p/b KTM,936,95,1052,904,1330,32,2020-02-06
Sander Armée,Lotto Soudal,857,24,385,375,255,34,2020-02-06
Simone Petilli,Circus - Wanty Gobert,237,39,145,232,288,26,2020-02-06
Mekseb Debesay,Bike Aid,301,239,957,246,221,28,2020-02-06
Robin Carpenter,Rally Cycling,249,184,690,108,314,27,2020-02-06
Azzedine Lagab,Groupement Sportif des Pétroliers,353,581,1058,174,360,33,2020-02-06
Nathan Van Hooydonck,CCC Team,182,207,116,16,66,24,2020-02-06
Franck Bonnamour,Team Arkéa Samsic,100,3,98,68,221,24,2020-02-06
Gonzalo Serrano,Caja Rural - Seguros RGA,88,2,114,30,24,25,2020-02-06
Andrea Guardini,Giotti Victoria,147,1,5023,52,231,30,2020-02-06
Angus Lyons,Oliver's Real Food,100,57,94,30,24,24,2020-02-06
Aaron Grosser,Bike Aid,70,0,263,0,44,23,2020-02-06
Márton Dina,Kometa Xstra Cycling Team,97,55,50,31,37,23,2020-02-06
Mykhaylo Kononenko,Shenzhen Xidesheng Cycling Team,620,232,2123,289,294,32,2020-02-06
Kenneth Van Rooy,Sport Vlaanderen - Baloise,65,0,284,36,172,26,2020-02-06
Kévin Ledanois,Team Arkéa Samsic,150,44,284,61,208,26,2020-02-06
Eros Capecchi,Bahrain - McLaren,1472,65,628,1150,353,33,2020-02-06
Michael Schär,CCC Team,846,91,437,188,625,33,2020-02-06
Łukasz Wiśniowski,CCC Team,219,259,408,21,482,28,2020-02-06
Anthony Maldonado,St Michel - Auber93,75,3,628,23,259,28,2020-02-06
Chun Kai Feng,Bahrain - McLaren,87,205,362,31,139,31,2020-02-06
Sam Crome,Team UKYO,223,53,184,86,43,26,2020-02-06
Julien Trarieux,NIPPO DELKO One Provence,13,26,60,21,101,27,2020-02-06
Batuhan Özgür,Spor Toto Cycling Team,95,0,608,10,39,22,2020-02-06
Jonathan Klever Caicedo,EF Pro Cycling,192,102,168,58,134,26,2020-02-06
José Carlos Prates Neves Fernandes,Burgos-BH,151,136,11,54,0,24,2020-02-06
Natnael Berhane,"Cofidis, Solutions Crédits",797,201,393,440,475,29,2020-02-06
Joey Rosskopf,CCC Team,575,958,249,273,212,30,2020-02-06
Toon Aerts,Telenet-Baloise Lions ,142,80,107,31,15,26,2020-02-06
Daniel McLay,Team Arkéa Samsic,125,83,1954,0,685,28,2020-02-06
Ben King,NTT Pro Cycling,375,350,197,517,179,30,2020-02-06
Ivar Slik,À BLOC CT,52,151,391,3,114,26,2020-02-06
Maciej Bodnar,BORA - hansgrohe,750,2593,195,25,257,34,2020-02-06
Drew Morey,Terengganu Inc. TSG Cycling Team,113,4,90,108,73,23,2020-02-06
Jonas Rutsch,EF Pro Cycling,84,5,44,35,21,22,2020-02-06
Igor Chzhan,Vino - Astana Motors,81,35,31,12,77,20,2020-02-06
Alex Edmondson,Mitchelton-Scott,85,291,277,74,88,26,2020-02-06
Sergei Chernetski,Gazprom - RusVelo,1229,387,670,646,717,29,2020-02-06
Josef Černý,CCC Team,330,474,403,104,122,26,2020-02-06
Andreas Leknessund,Uno-X Norwegian Development Team,29,72,56,0,10,20,2020-02-06
Juan José Lobato,Fundación - Orbea,596,50,2914,270,1251,31,2020-02-06
Brent Bookwalter,Mitchelton-Scott,1533,1139,724,858,368,35,2020-02-06
Cristopher Robin Jurado,Terengganu Inc. TSG Cycling Team,6,113,132,9,92,24,2020-02-06
Petr Vakoč,Alpecin-Fenix,492,183,500,344,1009,27,2020-02-06
Serge Pauwels,CCC Team,1286,38,470,1406,469,36,2020-02-06
Dušan Rajović,NIPPO DELKO One Provence,233,192,707,32,120,22,2020-02-06
José Gonçalves,NIPPO DELKO One Provence,841,694,700,464,272,30,2020-02-06
Thomas Sprengers,Sport Vlaanderen - Baloise,397,48,497,196,500,30,2020-02-06
Taco van der Hoorn,Team Jumbo-Visma,115,2,788,16,679,26,2020-02-06
Manuel Rodas ,,129,790,270,130,121,35,2020-02-06
James Shaw,Riwal Readynez Cycling Team,123,27,48,48,19,23,2020-02-06
Santiago Montenegro ,,10,14,51,8,4,21,2020-02-06
Nico Denz,Team Sunweb,112,37,205,51,286,25,2020-02-06
Polychronis Tzortzakis ,,56,233,320,17,125,31,2020-02-06
Michael Vink,St George Continental Cycling Team,144,237,74,40,30,28,2020-02-06
Floris De Tier,Alpecin-Fenix,304,0,142,282,253,28,2020-02-06
Clint Hendricks,Bike Aid,49,16,355,55,47,28,2020-02-06
Tom Bohli,UAE-Team Emirates,147,841,182,3,82,26,2020-02-06
Martin Toft Madsen,BHS - PL Beton Bornholm,0,821,49,3,15,34,2020-02-06
Stan Dewulf,Lotto Soudal,112,55,272,41,85,22,2020-02-06
Kamil Gradek,CCC Team,444,461,440,4,159,29,2020-02-06
Eliot Lietaer,Bingoal - Wallonie Bruxelles,554,67,336,200,241,29,2020-02-06
Nathan Haas,"Cofidis, Solutions Crédits",1005,253,999,760,1136,30,2020-02-06
Robert Stannard,Mitchelton-Scott,35,66,308,48,157,21,2020-02-06
Erik Bergstrom Frisk,Bike Aid,122,69,16,44,7,20,2020-02-06
Tsgabu Grmay,Mitchelton-Scott,701,387,109,312,129,28,2020-02-06
Christoph Pfingsten,Team Jumbo-Visma,278,223,297,94,267,32,2020-02-06
Umberto Marengo,Vini Zabù - KTM,27,12,224,55,66,27,2020-02-06
Steff Cras,Lotto Soudal,224,21,58,95,28,23,2020-02-06
Kamil Małecki,CCC Team,149,142,332,3,74,24,2020-02-06
Mauricio Moreira ,,84,56,32,0,17,24,2020-02-06
Charalampos Kastrantas ,,95,80,552,13,63,28,2020-02-06
Marcus Burghardt,BORA - hansgrohe,700,180,1096,128,1513,36,2020-02-06
Matteo Montaguti ,,544,181,510,808,762,36,2020-02-06
Simone Ravanelli,Androni Giocattoli - Sidermec,36,6,191,64,127,24,2020-02-06
Lucas Eriksson,Riwal Readynez Cycling Team,69,5,99,46,93,23,2020-02-06
Matthew Gibson,Burgos-BH,34,56,357,0,7,23,2020-02-06
Mathias Norsgaard,Movistar Team,6,270,38,0,1,22,2020-02-06
Brenton Jones,Canyon dhb p/b Soreen,51,222,1676,13,117,28,2020-02-06
Kenny Elissonde,Trek - Segafredo,796,27,46,828,183,28,2020-02-06
Garikoitz Bravo,Fundación - Orbea,475,35,254,198,255,30,2020-02-06
Sebastián Henao,Team INEOS,602,151,76,343,125,26,2020-02-06
Giovanni Aleotti,Cycling Team Friuli ASD,4,2,37,7,8,20,2020-02-06
Nicolas Zukowsky,Rally Cycling,81,45,80,27,40,21,2020-02-06
Corbin Strong,SEG Racing Academy,77,4,78,0,0,19,2020-02-06
Silvan Dillier,AG2R La Mondiale,728,468,820,332,974,29,2020-02-06
Aaron Gate,Black Spoke Pro Cycling Academy,146,58,430,56,92,29,2020-02-06
Michael Gogl,NTT Pro Cycling,334,60,182,192,277,26,2020-02-06
Jérôme Cousin,Team Total Direct Energie,417,73,227,119,89,30,2020-02-06
Michał Gołaś,Team INEOS,586,68,894,120,808,35,2020-02-06
Davide Martinelli,Astana Pro Team,88,131,322,11,160,26,2020-02-06
Anders Skaarseth,Uno-X Norwegian Development Team,98,28,269,28,46,24,2020-02-06
Ethan Hayter,Team INEOS,49,60,205,15,42,21,2020-02-06
Kaden Groves,Mitchelton-Scott,64,171,479,0,68,21,2020-02-06
Yakob Debesay,Equipe continentale Groupama-FDJ,56,8,22,60,0,20,2020-02-06
Ilya Davidenok,Ningxia Sports Lottery Continental Team,419,78,148,114,15,27,2020-02-06
Kenneth Vanbilsen,"Cofidis, Solutions Crédits",160,3,984,42,693,29,2020-02-06
Kent Main,ProTouch,72,79,16,53,21,24,2020-02-06
Casper Pedersen,Team Sunweb,201,109,282,24,92,23,2020-02-06
Markus Freiberger,Team Hrinkow Advarics Cycleang,112,40,49,18,7,24,2020-02-06
Alessandro Bisolti,Androni Giocattoli - Sidermec,399,57,340,282,180,34,2020-02-06
Róbigzon Leandro Oyola,Team Medellin,152,132,354,32,10,31,2020-02-06
Federico Zurlo,Giotti Victoria,109,55,367,74,107,25,2020-02-06
Matteo Malucelli,Caja Rural - Seguros RGA,3,36,1356,20,36,26,2020-02-06
Andreas Stokbro,NTT Pro Cycling,82,6,298,19,99,22,2020-02-06
Matthew Walls ,,18,1,233,0,45,21,2020-02-06
Tom Scully,EF Pro Cycling,115,531,205,4,115,30,2020-02-06
Bert de Backer,B&B Hotels - Vital Concept p/b KTM,189,0,640,17,642,35,2020-02-06
Dayer Quintana,Team Arkéa Samsic,381,0,49,302,89,27,2020-02-06
Mathijs Paasschens,Bingoal - Wallonie Bruxelles,25,0,144,7,87,23,2020-02-06
Antonio Carvalho,Efapel,215,214,158,134,22,30,2020-02-06
Benjamin Hill,Team BridgeLane,96,90,411,87,62,30,2020-02-06
Romain Cardis,Team Total Direct Energie,46,20,552,50,246,27,2020-02-06
Michael Schwarzmann,BORA - hansgrohe,126,1,554,44,168,29,2020-02-06
Reto Hollenstein,Israel Start-Up Nation,645,579,281,128,288,34,2020-02-06
Imanol Erviti,Movistar Team,804,524,304,283,656,36,2020-02-06
Sergey Shilov,Aviludo-Louletano,126,385,650,160,442,32,2020-02-06
Oleksandr Polivoda,SSIOS Miogee Cycling Team,762,140,1042,176,206,32,2020-02-06
Julien Bernard,Trek - Segafredo,409,23,8,239,43,27,2020-02-06
Daniil Fominykh,Astana Pro Team,175,345,44,72,71,28,2020-02-06
Vitaliy Buts,Shenzhen Xidesheng Cycling Team,838,30,2423,149,362,33,2020-02-06
Laurens De Vreese,Astana Pro Team,333,5,572,74,709,31,2020-02-06
Lars Ytting Bak ,,2331,800,1470,462,1148,40,2020-02-06
Walter Vargas,Team Medellin,56,464,5,3,44,27,2020-02-06
Rick Zabel,Israel Start-Up Nation,220,51,1108,32,517,26,2020-02-06
Maxime Monfort ,,4656,2453,740,1879,661,37,2020-02-06
Daniel Turek, Israel Cycling Academy,165,62,173,70,93,27,2020-02-06
Michael Kukrle,Elkov - Kasper,130,186,122,20,22,25,2020-02-06
Juan Sebastián Molano,UAE-Team Emirates,160,0,1016,10,187,25,2020-02-06
Brent Van Moer,Lotto Soudal,57,131,94,0,33,22,2020-02-06
Viacheslav Kuznetsov,Gazprom - RusVelo,647,67,924,147,601,30,2020-02-06
Rafael Valls,Bahrain - McLaren,1128,78,284,666,293,32,2020-02-06
Sebastian Schönberger,B&B Hotels - Vital Concept p/b KTM,105,11,71,58,35,25,2020-02-06
Sindre Lunke,Riwal Readynez Cycling Team,186,1,58,60,50,26,2020-02-06
Christoffer Lisson,Riwal Readynez Cycling Team,52,81,179,0,30,24,2020-02-06
Biniyam Ghirmay,NIPPO DELKO One Provence,0,10,177,0,4,19,2020-02-06
Dries Van Gestel,Team Total Direct Energie,122,2,280,42,308,25,2020-02-06
Ildar Arslanov ,,276,52,50,160,68,25,2020-02-06
Jesper Hansen,"Cofidis, Solutions Crédits",1087,7,166,376,57,29,2020-02-06
Gijs Van Hoecke,CCC Team,328,155,324,4,282,28,2020-02-06
Matthew Holmes,Lotto Soudal,119,0,64,52,11,26,2020-02-06
Lukas Ruegg,Swiss Racing Academy,13,21,120,34,87,23,2020-02-06
Matteo Sobrero,NTT Pro Cycling,14,49,129,38,101,22,2020-02-06
Paweł Poljański,BORA - hansgrohe,394,40,72,377,83,29,2020-02-06
Mickaël Cherel,AG2R La Mondiale,1099,1,594,644,566,33,2020-02-06
Ignacio de Jesús Prado,Canel's Pro Cycling,11,266,132,0,90,26,2020-02-06
Benjamin Thomas,Groupama - FDJ,280,362,279,68,113,24,2020-02-06
Yoann Paillot,St Michel - Auber93,221,631,134,36,61,28,2020-02-06
Jürgen Roelandts,Movistar Team,1255,518,3824,484,3207,34,2020-02-06
August Jensen,Riwal Readynez Cycling Team,403,48,1014,59,254,28,2020-02-06
Miles Scotson,Groupama - FDJ,103,422,21,14,58,26,2020-02-06
Thomas Stewart,Canyon dhb p/b Soreen,101,17,461,4,225,30,2020-02-06
Mikkel Frølich Honoré,Deceuninck - Quick Step,56,11,90,20,84,23,2020-02-06
František Sisr,Elkov - Kasper,73,94,793,0,288,26,2020-02-06
Mohd Harrif Saleh,Terengganu Inc. TSG Cycling Team,45,16,2144,16,32,31,2020-02-06
Lars Boom ,,2133,2738,2058,180,1466,34,2020-02-06
Rodrigo Contreras,Astana Pro Team,77,197,46,109,5,25,2020-02-06
Guy Niv,Israel Start-Up Nation,64,30,3,10,16,25,2020-02-06
Roman Maikin,Cambodia Cycling Academy ,213,64,1280,62,553,29,2020-02-06
Shane Archbold,Deceuninck - Quick Step,48,27,643,53,256,31,2020-02-06
Robbert de Greef ,,15,0,137,0,122,Date of birth: 27th August 1991Passed away on: 26th April 2019Nationality: NetherlandsWeight: 65 kg   Height: 1.79 mPlace of birth: GeldropPoints per specialty122One day races15GC0Time trial137Sprint0ClimberTwitterProCyclingGameRankings |  PCS 672  UCI 555  Visits: ▼71 this wee,2020-02-06
Mirco Maestri,Bardiani-CSF-Faizanè,163,78,252,14,52,28,2020-02-06
David Miguel Costa Rodrigues,Radio Popular Boavista,142,4,51,108,9,28,2020-02-06
Tobias Foss,Team Jumbo-Visma,41,105,56,1,4,22,2020-02-06
Cristhian Montoya,Team Medellin,79,26,55,106,0,30,2020-02-06
Stanislau Bazhkou,Minsk Cycling Club,379,124,798,206,80,28,2020-02-06
Tomasz Marczyński,Lotto Soudal,1055,105,486,566,421,35,2020-02-06
Steve Cummings ,,1555,1441,534,854,617,38,2020-02-06
Sacha Modolo,Alpecin-Fenix,503,16,5899,190,1691,32,2020-02-06
Aleksey Rybalkin,Gazprom - RusVelo,239,12,6,127,17,26,2020-02-06
Adrien Guillonnet,St Michel - Auber93,63,1,17,101,10,26,2020-02-06
